classification	field	definition_file_line	consumer_file_line	runtime_effect_or_winner	recommended_disposition	marker
presentation-only	SM.Content.Definitions.PassiveNodeDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/PassiveNodeDefinition.cs:14	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:173	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RaceDefinition.legacyDescription	Assets/_Game/Scripts/Runtime/Content/Definitions/RaceDefinition.cs:18	Assets/_Game/Scripts/Runtime/Content/Definitions/RaceDefinition.cs:21	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RaceDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/RaceDefinition.cs:15	Assets/_Game/Scripts/Runtime/Content/Definitions/RaceDefinition.cs:20	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RaceDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/RaceDefinition.cs:11	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:91	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RewardSourceDefinition.legacyDescription	Assets/_Game/Scripts/Runtime/Content/Definitions/RewardSourceDefinition.cs:24	Assets/_Game/Scripts/Runtime/Content/Definitions/RewardSourceDefinition.cs:27	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RewardSourceDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/RewardSourceDefinition.cs:21	Assets/_Game/Scripts/Runtime/Content/Definitions/RewardSourceDefinition.cs:26	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RewardSourceDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/RewardSourceDefinition.cs:13	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/RewardConverter.cs:16	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RoleInstructionDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/RoleInstructionDefinition.cs:22	Assets/_Game/Scripts/Runtime/Content/Definitions/RoleInstructionDefinition.cs:24	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.RoleInstructionDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/RoleInstructionDefinition.cs:13	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:149	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SiteEventChoiceDefinition.LabelKey	Assets/_Game/Scripts/Runtime/Content/Definitions/SiteEventChoiceDefinition.cs:10	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:88	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SkillDefinitionAsset.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:15	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:56	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SkillDefinitionAsset.IconId	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:59	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:108	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SkillDefinitionAsset.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:87	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:89	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SkillDefinitionAsset.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:14	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:49	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SkillDefinitionAsset.VfxHookId	Assets/_Game/Scripts/Runtime/Content/Definitions/SkillDefinitionAsset.cs:60	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/SkillConverter.cs:109	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.StableTagDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/StableTagDefinition.cs:14	Assets/_Game/Scripts/Runtime/Content/Definitions/StableTagDefinition.cs:16	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.StatusFamilyDefinition.legacyDescription	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:103	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:106	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.StatusFamilyDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:100	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:105	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.StatusFamilyDefinition.VfxCueId	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:84	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/StatusConverter.cs:23	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SynergyDefinition.DescriptionKey	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyDefinition.cs:14	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:201	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SynergyDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyDefinition.cs:20	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyDefinition.cs:22	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SynergyDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyDefinition.cs:13	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:194	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.SynergyTierDefinition.legacyDescription	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyTierDefinition.cs:22	Assets/_Game/Scripts/Runtime/Content/Definitions/SynergyTierDefinition.cs:24	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.TeamTacticDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/TeamTacticDefinition.cs:29	Assets/_Game/Scripts/Runtime/Content/Definitions/TeamTacticDefinition.cs:31	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.TeamTacticDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/TeamTacticDefinition.cs:13	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:187	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.TraitEntry.legacyDescription	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitEntry.cs:21	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitEntry.cs:24	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.TraitEntry.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitEntry.cs:18	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitEntry.cs:23	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.TraitEntry.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitEntry.cs:13	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:220	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.TraitTokenDefinition.legacyDescription	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitTokenDefinition.cs:20	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitTokenDefinition.cs:23	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.TraitTokenDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitTokenDefinition.cs:17	Assets/_Game/Scripts/Runtime/Content/Definitions/TraitTokenDefinition.cs:22	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.UnitArchetypeDefinition.legacyDisplayName	Assets/_Game/Scripts/Runtime/Content/Definitions/UnitArchetypeDefinition.cs:89	Assets/_Game/Scripts/Runtime/Content/Definitions/UnitArchetypeDefinition.cs:91	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.Definitions.UnitArchetypeDefinition.NameKey	Assets/_Game/Scripts/Runtime/Content/Definitions/UnitArchetypeDefinition.cs:14	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:84	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.DialogueLineDefinition._emotionTextKey	Assets/_Game/Scripts/Runtime/Content/DialogueLineDefinition.cs:13	Assets/_Game/Scripts/Runtime/Content/DialogueLineDefinition.cs:20	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.DialogueLineDefinition._textKey	Assets/_Game/Scripts/Runtime/Content/DialogueLineDefinition.cs:11	Assets/_Game/Scripts/Runtime/Content/DialogueLineDefinition.cs:18	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Content.HeroLoreDefinition._unresolvedHook	Assets/_Game/Scripts/Runtime/Content/HeroLoreDefinition.cs:15	Assets/_Game/Scripts/Runtime/Content/HeroLoreDefinition.cs:22	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Meta.Model.ClassLabelMapping.PlayerFacingLabel	Assets/_Game/Scripts/Runtime/Meta/Model/FirstPlayableSliceModels.cs:96	Assets/_Game/Scripts/Runtime/Unity/FirstPlayableSliceDefinitionAsset.cs:93	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.DisplayName	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:49	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1301	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.Notes	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:62	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1318	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxConfig.DisplayName	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxConfig.cs:12	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:69	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxEnemySlot.DisplayName	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxSlotTypes.cs:21	Assets/_Game/Scripts/Runtime/Unity/GameSessionState.cs:1377	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxExecutionSettings.DisplayName	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:95	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:89	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxExecutionSettings.Notes	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:103	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1244	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxScenarioMetadata.DisplayName	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:127	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:67	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxTeamDefinition.DisplayName	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:110	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:240	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxTeamDefinition.Notes	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:120	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1214	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxTeamDefinition.ProvenanceLabel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:119	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1068	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxTeamMemberDefinition.DisplayName	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:71	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:522	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
presentation-only	SM.Unity.Sandbox.CombatSandboxTeamMemberDefinition.Notes	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxAuthoringModels.cs:80	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1290	presentation only; not battle, meta, or persistence truth	keep and preserve the presentation-only label	-
live	SM.Combat.Model.SliceCoverageQuota.Kind	Assets/_Game/Scripts/Runtime/Combat/Model/LoopDTelemetryModels.cs:468	Assets/_Game/Scripts/Runtime/Unity/FirstPlayableSliceDefinitionAsset.cs:65	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/FirstPlayableSliceDefinitionAsset.cs:65	keep and preserve consumer evidence	-
live	SM.Combat.Model.SliceCoverageQuota.MinimumCount	Assets/_Game/Scripts/Runtime/Combat/Model/LoopDTelemetryModels.cs:469	Assets/_Game/Scripts/Runtime/Unity/FirstPlayableSliceDefinitionAsset.cs:66	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/FirstPlayableSliceDefinitionAsset.cs:66	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._catharsisTarget	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:17	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:27	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:27	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._chapterId	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:10	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:20	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:20	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._humorTarget	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:16	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:26	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:26	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._id	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:9	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:19	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:19	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._nodeIndex	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:12	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:22	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:22	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._reliefTarget	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:15	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:25	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:25	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._siteId	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:11	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:21	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:21	keep and preserve consumer evidence	-
live	SM.Content.ChapterBeatDefinition._tensionTarget	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:14	Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:24	named runtime consumer at Assets/_Game/Scripts/Runtime/Content/ChapterBeatDefinition.cs:24	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.AllowedSlotTypes	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:29	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:98	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:98	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.BudgetScore	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:37	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:99	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:99	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.Category	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:23	Assets/_Game/Scripts/Runtime/Unity/UI/Town/Preview/EquipmentRefitPresenter.cs:196	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/UI/Town/Preview/EquipmentRefitPresenter.cs:196	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.CompileTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:30	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:94	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:94	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.ExcludedTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:33	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:96	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:96	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.ExclusiveGroupId	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:36	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:103	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:103	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.Id	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:20	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:93	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:93	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.ItemLevelMin	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:34	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:102	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:102	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.Modifiers	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:42	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ModifierPackageConverter.cs:35	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ModifierPackageConverter.cs:35	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.RequiredTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:32	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:95	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:95	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.RuleModifierTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:31	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:97	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:97	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.SpawnWeight	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:35	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:100	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:100	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.Tier	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:24	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:101	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:101	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.ValueMax	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:28	Assets/_Game/Scripts/Runtime/Unity/UI/Town/Preview/EquipmentRefitPresenter.cs:197	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/UI/Town/Preview/EquipmentRefitPresenter.cs:197	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AffixDefinition.ValueMin	Assets/_Game/Scripts/Runtime/Content/Definitions/AffixDefinition.cs:27	Assets/_Game/Scripts/Runtime/Unity/UI/Town/Preview/EquipmentRefitPresenter.cs:197	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/UI/Town/Preview/EquipmentRefitPresenter.cs:197	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.BudgetCard	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:22	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:125	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:125	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.BuildBiasTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:32	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:129	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:129	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.Category	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:23	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:110	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:110	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.FamilyId	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:24	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:117	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:117	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.Id	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:16	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:109	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:109	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.IsPermanent	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:21	Assets/_Game/Scripts/Runtime/Unity/GameSessionProfileNormalizer.cs:34	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/GameSessionProfileNormalizer.cs:34	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.Modifiers	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:41	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ModifierPackageConverter.cs:43	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ModifierPackageConverter.cs:43	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.MutualExclusionTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:34	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:122	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:122	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.OfferBucket	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:27	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:127	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:127	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.RiskRewardClass	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:28	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:128	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:128	keep and preserve consumer evidence	-
live	SM.Content.Definitions.AugmentDefinition.RuleModifierTags	Assets/_Game/Scripts/Runtime/Content/Definitions/AugmentDefinition.cs:36	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:124	named runtime consumer at Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:124	keep and preserve consumer evidence	-
