classification	file_line	authored_field	sentinel	falls_back_to	author_can_tell	guard_rule	asset_glob	guard_message
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:206	SM.Content.Definitions.BehaviorProfileDefinition.BlockChance	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BlockChance outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:207	SM.Content.Definitions.BehaviorProfileDefinition.BlockMitigation	outside 0..0.9	clamped to 0..0.9	false	outside:0:0.9	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: BlockMitigation outside 0..0.9 is silently changed. Runtime actually clamps it into 0..0.9. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:208	SM.Content.Definitions.BehaviorProfileDefinition.Stability	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: Stability outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:209	SM.Content.Definitions.BehaviorProfileDefinition.BlockCooldownSeconds	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative BlockCooldownSeconds is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:212	SM.Content.Definitions.BehaviorProfileDefinition.PreferredRangeMin	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative behavior PreferredRangeMin is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:213	SM.Content.Definitions.BehaviorProfileDefinition.PreferredRangeMax	below PreferredRangeMin	PreferredRangeMin	false	existing-validator:reachability-fallback-registry	-	Wrong: behavior PreferredRangeMax below PreferredRangeMin is silently changed. Runtime actually raises max to min. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:214	SM.Content.Definitions.BehaviorProfileDefinition.ApproachBuffer	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative ApproachBuffer is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:215	SM.Content.Definitions.BehaviorProfileDefinition.RetreatBuffer	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: negative RetreatBuffer is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:216	SM.Content.Definitions.BehaviorProfileDefinition.ChaseLeashMeters	below 0.5	0.5	false	lt:0.5	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: ChaseLeashMeters below 0.5 is silently changed. Runtime actually uses at least 0.5. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:217	SM.Content.Definitions.BehaviorProfileDefinition.RetreatAtHpPercent	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: RetreatAtHpPercent outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:218	SM.Content.Definitions.BehaviorProfileDefinition.FrontlineGuardRadius	below 0.5	0.5	false	lt:0.5	Assets/Resources/_Game/Content/Definitions/Archetypes/*.asset	Wrong: FrontlineGuardRadius below 0.5 is silently changed. Runtime actually uses at least 0.5. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:233	SM.Content.Definitions.UnitArchetypeDefinition.MobilityProfile	missing	class-derived mobility profile or no mobility	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:278	SM.Content.Definitions.UnitArchetypeDefinition.Skills	empty	built-in archetype skill ids then class skill ids	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:365	SM.Content.Definitions.UnitLoadoutDefinition.SignatureActive	authored slot and resolved compiler slot disagree	resolved skill/compiler pick wins in battle loadout	false	existing-validator:reachability-shadow	-	Wrong: authored SignatureActive looks authoritative but can be replaced by the resolved loadout compiler pick. Runtime actually uses the compiler winner. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:368	SM.Content.Definitions.UnitLoadoutDefinition.FlexActive	authored slot and resolved compiler slot disagree	resolved utility-active compiler pick wins in battle loadout	false	existing-validator:reachability-shadow	-	Wrong: authored FlexActive looks authoritative but can be replaced by the resolved loadout compiler pick. Runtime actually uses the compiler winner. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:430	SM.Content.Definitions.UnitArchetypeDefinition.RecruitFlexActivePool	empty	legacy FlexUtilitySkillPool then resolved FlexActive	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:430	SM.Content.Definitions.UnitArchetypeDefinition.RecruitFlexPassivePool	empty	legacy FlexSupportSkillPool then resolved Support skill	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:460	SM.Content.Definitions.UnitArchetypeDefinition.RecruitFlexActivePool	class fallback pool is larger than authored pool	class fallback pool replaces authored pool	false	existing-validator:reachability-fallback-registry	-	Wrong: a nonempty RecruitFlexActivePool can still be replaced when the class fallback pool is larger. Runtime actually uses the larger class fallback pool. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:460	SM.Content.Definitions.UnitArchetypeDefinition.RecruitFlexPassivePool	class fallback pool is larger than authored pool	class fallback pool replaces authored pool	false	existing-validator:reachability-fallback-registry	-	Wrong: a nonempty RecruitFlexPassivePool can still be replaced when the class fallback pool is larger. Runtime actually uses the larger class fallback pool. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:483	SM.Content.Definitions.UnitArchetypeDefinition.RecruitTier	BudgetCard exists	BudgetCard rarity-derived tier	false	existing-validator:reachability-fallback-registry	-	Wrong: RecruitTier looks authoritative when a BudgetCard exists. Runtime actually derives the tier from BudgetCard.Rarity. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:495	SM.Content.Definitions.UnitArchetypeDefinition.RecruitPlanTags	empty	id fallback map then inferred class/race/combat tags	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:505	SM.Content.Definitions.UnitArchetypeDefinition.ScoutBiasTags	empty	id fallback map then inferred class/race/combat tags	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ArchetypeConverter.cs:520	SM.Content.Definitions.UnitArchetypeDefinition.RecruitBannedPairings	empty	class fallback pairings then empty	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:26	SM.Content.Definitions.CampaignChapterDefinition.Balance	missing	HpEnvelope 1; AtkEnvelope 1; site steps 0	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:61	SM.Content.Definitions.SiteGraphDefinition.Nodes	null	empty graph	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:112	SM.Content.Definitions.EncounterDefinition.ThreatCost	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/Encounters/*.asset	Wrong: Encounter ThreatCost below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:113	SM.Content.Definitions.EncounterDefinition.ThreatSkulls	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/Encounters/*.asset	Wrong: Encounter ThreatSkulls below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:130	SM.Content.Definitions.EnemySquadTemplateDefinition.ThreatCost	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/EnemySquads/*.asset	Wrong: enemy squad ThreatCost below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:138	SM.Content.Definitions.EnemySquadMemberDefinition.Id	empty	squadId:archetypeId:anchor derived id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:139	SM.Content.Definitions.EnemySquadMemberDefinition.CharacterId	empty	ArchetypeId for display fallback	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:150	SM.Content.Definitions.EnemySquadMemberDefinition.EquipmentBudget	negative	0	false	lt:0	Assets/Resources/_Game/Content/Definitions/EnemySquads/*.asset	Wrong: negative EquipmentBudget is silently changed. Runtime actually clamps it to 0. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:165	SM.Content.Definitions.BossOverlayDefinition.ThreatCost	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/BossOverlays/*.asset	Wrong: boss overlay ThreatCost below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CampaignConverter.cs:179	SM.Content.Definitions.StatusApplicationRule.MaxStacks	0 or negative	1	false	lte:0	Assets/Resources/_Game/Content/Definitions/BossOverlays/*.asset	Wrong: boss overlay MaxStacks at or below 0 does not disable stacking. Runtime actually forces MaxStacks to 1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:53	SM.Content.Definitions.CharacterDefinition.Race	missing	empty race id	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:54	SM.Content.Definitions.CharacterDefinition.Class	missing	empty class id	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:55	SM.Content.Definitions.CharacterDefinition.DefaultArchetype	missing	empty archetype id	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:56	SM.Content.Definitions.CharacterDefinition.DefaultRoleInstruction	missing	empty role instruction id	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:75	SM.Content.Definitions.PassiveNodeDefinition.GrantedSkillId	null	empty skill id	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:83	SM.Content.Definitions.ItemBaseDefinition.WeaponFamilyTag	null	empty weapon family	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:103	SM.Content.Definitions.AffixDefinition.ExclusiveGroupId	null	empty exclusive group	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:117	SM.Content.Definitions.AugmentDefinition.FamilyId	empty	augment Id	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:118	SM.Content.Definitions.AugmentDefinition.Tier	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/Augments/*.asset	Wrong: Augment Tier below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:134	SM.Content.Definitions.AugmentDefinition.TriggeredEffects	null or empty	no triggered effects	true	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:150	SM.Content.Definitions.TriggeredEffectSpec.MaxStacks	0 or negative	1	false	lte:0	Assets/Resources/_Game/Content/Definitions/Augments/*.asset	Wrong: augment triggered-effect MaxStacks at or below 0 does not disable stacking. Runtime actually forces MaxStacks to 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/CatalogEntryConverter.cs:156	SM.Content.Definitions.SynergyTierDefinition.Threshold	0 or negative	tier is silently dropped	false	lte:0	Assets/Resources/_Game/Content/Definitions/Synergies/*.asset	Wrong: Synergy Threshold at or below 0 does not create a zero-threshold tier. Runtime actually drops that tier. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/StatusConverter.cs:57	SM.Content.Definitions.CleanseProfileDefinition.GrantedStatusId	empty	unstoppable	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Combat/Services/StatusResolutionService.cs:216	SM.Content.Definitions.CleanseProfileDefinition.GrantedUnstoppableDurationSeconds	0 or negative	0.1 seconds	false	lte:0	Assets/Resources/_Game/Content/Definitions/CleanseProfiles/*.asset	Wrong: GrantedUnstoppableDurationSeconds at or below 0 does not disable the grant. Runtime actually uses 0.1 seconds. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/CombatStatusRules.cs:212	SM.Content.Definitions.StatusFamilyDefinition.TenacityScale	outside 0..1	clamped to 0..1	false	outside:0:1	Assets/Resources/_Game/Content/Definitions/StatusFamilies/*.asset	Wrong: TenacityScale outside 0..1 is silently changed. Runtime actually clamps it into 0..1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Content/Definitions/StatusFamilyDefinition.cs:46	SM.Content.Definitions.StatusFamilyDefinition.MagnitudeScale	missing serialized key	C# initializer 1 if Unity preserves it	false	missing	Assets/Resources/_Game/Content/Definitions/StatusFamilies/*.asset	Wrong: a missing MagnitudeScale key relies on deserialization preserving the field initializer. Runtime actually expects scale 1 but the serialized source does not say so. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Combat/Model/UnitSnapshot.cs:687	SM.Content.Definitions.ControlDiminishingRuleDefinition.WindowSeconds	0 or negative	no control-resist window	false	lte:0	Assets/Resources/_Game/Content/Definitions/ControlDiminishingRules/*.asset	Wrong: WindowSeconds at or below 0 silently disables the control-resist window. Runtime actually returns without applying it. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/RewardConverter.cs:57	SM.Content.Definitions.LootBundleEntryDefinition.Id	empty	rewardType:rarity:amount derived id	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/RewardConverter.cs:59	SM.Content.Definitions.LootBundleEntryDefinition.Amount	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/LootBundles/*.asset	Wrong: LootBundle Amount below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
trap	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/RewardConverter.cs:61	SM.Content.Definitions.LootBundleEntryDefinition.Weight	below 1	1	false	lt:1	Assets/Resources/_Game/Content/Definitions/LootBundles/*.asset	Wrong: LootBundle Weight below 1 is silently changed. Runtime actually uses 1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentDefinitionRegistry.cs:169	all top-level definition collections	empty Resources collection	parsed canonical content fallback for that collection	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentDefinitionRegistry.cs:384	SM.Unity.FirstPlayableSliceDefinitionAsset	missing authored slice	new empty FirstPlayableSliceDefinition	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentConversion/ContentDefinitionRegistry.cs:455	SM.Unity.SliceCoverageQuota collection	null	empty quota list	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/FirstPlayableSliceDefinitionAsset.cs:69	all FirstPlayable id lists	empty ids or duplicate ids	dropped and deduplicated list	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/ContentTextResolver.cs:259	all authored NameKey and DescriptionKey fields	missing table/key/translation	legacy text then stable id humanized then unknown	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/UI/ContentIconResolver.cs:202	SM.Content.Definitions.SkillDefinitionAsset.IconId	empty	derived skill_icon_ id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/UI/ContentIconResolver.cs:214	SM.Content.Definitions.ItemBaseDefinition.IconId	empty	slot or weapon-family icon id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/UI/ContentIconResolver.cs:236	SM.Content.Definitions.AugmentDefinition.IconId	empty	derived augment_ id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:62	SM.Unity.Sandbox.CombatSandboxScenarioMetadata.ScenarioId	empty	config Id then sandbox_default	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:67	SM.Unity.Sandbox.CombatSandboxScenarioMetadata.DisplayName	empty	config DisplayName then scenario id	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:88	SM.Unity.Sandbox.CombatSandboxExecutionSettings.PresetId	empty or UseScenarioAuthoring false	legacy sandbox configuration replaces authored scenario execution	false	existing-validator:reachability-fallback-registry	-	Wrong: an empty PresetId or disabled scenario authoring silently selects the legacy sandbox lane. Runtime actually compiles legacy configuration instead of the authored scenario. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:89	SM.Unity.Sandbox.CombatSandboxExecutionSettings.DisplayName	empty	scenario display name	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:94	SM.Unity.Sandbox.CombatSandboxExecutionSettings.PresetId	empty	scenario id	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:112	SM.Unity.Sandbox.CombatSandboxExecutionSettings.BatchCount	0 or negative	max of 1 and legacy config BatchCount	false	lte:0	Assets/Resources/_Game/Content/Definitions/QuickBattle/*.asset	Wrong: sandbox BatchCount at or below 0 does not disable execution. Runtime actually substitutes legacy BatchCount with a minimum of 1. Choose wire it / delete it / mark it.
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:117	SM.Unity.Sandbox.CombatSandboxExecutionSettings.Seed	missing external seed override	authored seed-mode resolution	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:188	SM.Unity.Sandbox.CombatSandboxTeamDefinition.Members	empty	legacy ally/enemy slot synthesis	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:519	SM.Unity.Sandbox.CombatSandboxTeamMemberDefinition.MemberId	empty	character/archetype-based generated hero id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:522	SM.Unity.Sandbox.CombatSandboxTeamMemberDefinition.DisplayName	empty	character id then archetype id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:585	SM.Unity.Sandbox.CombatSandboxTeamMemberDefinition.ArchetypeId	empty	character DefaultArchetypeId	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:637	SM.Unity.Sandbox.CombatSandboxTeamDefinition.Members	no resolved configured members	current squad hero ids	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:684	SM.Unity.Sandbox.CombatSandboxTeamMemberDefinition.RoleInstructionId	empty	build override role instruction then current role assignment	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:719	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.FlexActiveSkillId	empty	hero record FlexActiveId	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:720	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.FlexPassiveSkillId	empty	hero record FlexPassiveId	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:721	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.PositiveTraitId	empty	hero record PositiveTraitId	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:722	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.NegativeTraitId	empty	hero record NegativeTraitId	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:727	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.EquippedItems	empty	hero record equipped items	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:748	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.PassiveBoardId	empty	hero passive board id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:751	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.PassiveNodeIds	empty	hero selected passive nodes	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:754	SM.Unity.Sandbox.CombatSandboxBuildOverrideData.PermanentAugmentIds	empty	hero permanent augment loadout	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:810	SM.Unity.Sandbox.CombatSandboxTeamDefinition.TeamTacticId	empty with StandardAdvance	no explicit team tactic override	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:824	SM.Unity.Sandbox.CombatSandboxTeamDefinition.HeroTargetDirectives	empty	null directive map	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:836	SM.Unity.Sandbox.CombatSandboxTeamMemberDefinition.TargetDirectiveId	empty	no target directive	true	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:874	SM.Unity.Sandbox.CombatSandboxTeamDefinition.TeamId	empty	empty provenance team tag	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1109	SM.Unity.Sandbox.CombatSandboxConfig.TeamTacticId	empty	current town team tactic id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1165	SM.Unity.Sandbox.CombatSandboxEnemySlot.ParticipantId	empty	generated enemy.character-or-archetype.anchor id	false	documented	-	-
legitimate-sentinel	Assets/_Game/Scripts/Runtime/Unity/Sandbox/CombatSandboxScenarioCompiler.cs:1182	SM.Unity.Sandbox.CombatSandboxEnemySlot.TemporaryAugmentIds	null	empty augment list	false	documented	-	-
trap	Assets/_Game/Scripts/Runtime/Unity/GameSessionState.cs:443	SM.Unity.Sandbox.CombatSandboxConfig.Seed	0	17	false	eq:0	Assets/Resources/_Game/Content/Definitions/QuickBattle/*.asset	Wrong: sandbox Seed 0 is not seed zero. Runtime actually substitutes seed 17. Choose wire it / delete it / mark it.
